Rootfinding methods for the equation e^x=0
Newtons method
iteration	root		error
3		2.6238935719	3.1415926536	2.882743e+00
4		2.8827431127	3.1415926536	3.012168e+00
5		3.0121678832	3.1415926536	3.076880e+00
6		3.0768802684	3.1415926536	3.109236e+00
7		3.1092364610	3.1415926536	3.125415e+00
8		3.1254145573	3.1415926536	3.133504e+00
9		3.1335036054	3.1415926536	3.137548e+00
10		3.1375481295	3.1415926536	3.139570e+00
11		3.1395703916	3.1415926536	3.140582e+00
12		3.1405815226	3.1415926536	3.141087e+00
13		3.1410870881	3.1415926536	3.141340e+00
14		3.1413398708	3.1415926536	3.141466e+00
15		3.1414662622	3.1415926536	3.141529e+00
16		3.1415294579	3.1415926536	3.141561e+00
17		3.1415610557	3.1415926536	3.141577e+00
18		3.1415768547	3.1415926536	3.141585e+00
19		3.1415847541	3.1415926536	3.141589e+00
20		3.1415887039	3.1415926536	3.141591e+00
21		3.1415906787	3.1415926536	3.141592e+00
22		3.1415916662	3.1415926536	3.141592e+00
23		3.1415921599	3.1415926536	3.141592e+00
24		3.1415924067	3.1415926536	3.141593e+00
25		3.1415925302	3.1415926536	3.141593e+00
26		3.1415925919	3.1415926536	3.141593e+00
27		3.1415926227	3.1415926536	3.141593e+00
28		3.1415926382	3.1415926536	3.141593e+00
29		3.1415926459	3.1415926536	3.141593e+00
30		3.1415926497	3.1415926536	3.141593e+00
31		3.1415926517	3.1415926536	3.141593e+00
32		3.1415926526	3.1415926536	3.141593e+00
33		3.1415926531	3.1415926536	3.141593e+00
34		3.1415926533	3.1415926536	3.141593e+00
35		3.1415926535	3.1415926536	3.141593e+00
36		3.1415926535	3.1415926536	3.141593e+00


Secant method
iteration	root		error
0		1.0707963268	1.070796e+00
1		0.0707963268	7.079633e-02
2		-0.9292036732	9.292037e-01
3		-1.9292036732	1.929204e+00
4		-2.9292036732	2.929204e+00
5		-3.9292036732	3.929204e+00
6		-4.9292036732	4.929204e+00
7		-5.9292036732	5.929204e+00
8		-6.9292036732	6.929204e+00
9		-7.9292036732	7.929204e+00
10		-8.9292036732	8.929204e+00
11		-9.9292036732	9.929204e+00
12		-10.9292036732	1.092920e+01
13		-11.9292036732	1.192920e+01
14		-12.9292036732	1.292920e+01
15		-13.9292036732	1.392920e+01
16		-14.9292036732	1.492920e+01
17		-15.9292036732	1.592920e+01
18		-16.9292036732	1.692920e+01
19		-17.9292036732	1.792920e+01
20		-18.9292036732	1.892920e+01
21		-19.9292036732	1.992920e+01
22		-20.9292036732	2.092920e+01
23		-21.9292036732	2.192920e+01
24		-22.9292036732	2.292920e+01
25		-23.9292036732	2.392920e+01
26		-24.9292036732	2.492920e+01
27		-25.9292036732	2.592920e+01
28		-26.9292036732	2.692920e+01
29		-27.9292036732	2.792920e+01
30		-28.9292036732	2.892920e+01
31		-29.9292036732	2.992920e+01
32		-30.9292036732	3.092920e+01
33		-31.9292036732	3.192920e+01
34		-32.9292036732	3.292920e+01
35		-33.9292036732	3.392920e+01
36		-34.9292036732	3.492920e+01
37		-35.9292036732	3.592920e+01
38		-36.9292036732	3.692920e+01
39		-37.9292036732	3.792920e+01
40		-38.9292036732	3.892920e+01
41		-39.9292036732	3.992920e+01
42		-40.9292036732	4.092920e+01
43		-41.9292036732	4.192920e+01
44		-42.9292036732	4.292920e+01
45		-43.9292036732	4.392920e+01
46		-44.9292036732	4.492920e+01
47		-45.9292036732	4.592920e+01
48		-46.9292036732	4.692920e+01
49		-47.9292036732	4.792920e+01
50		-48.9292036732	4.892920e+01
51		-49.9292036732	4.992920e+01
52		-50.9292036732	5.092920e+01
53		-51.9292036732	5.192920e+01
54		-52.9292036732	5.292920e+01
55		-53.9292036732	5.392920e+01
56		-54.9292036732	5.492920e+01
57		-55.9292036732	5.592920e+01
58		-56.9292036732	5.692920e+01
59		-57.9292036732	5.792920e+01
60		-58.9292036732	5.892920e+01
61		-59.9292036732	5.992920e+01
62		-60.9292036732	6.092920e+01
63		-61.9292036732	6.192920e+01
64		-62.9292036732	6.292920e+01
65		-63.9292036732	6.392920e+01
66		-64.9292036732	6.492920e+01
67		-65.9292036732	6.592920e+01
68		-66.9292036732	6.692920e+01
69		-67.9292036732	6.792920e+01
70		-68.9292036732	6.892920e+01
71		-69.9292036732	6.992920e+01
72		-70.9292036732	7.092920e+01
73		-71.9292036732	7.192920e+01
74		-72.9292036732	7.292920e+01
75		-73.9292036732	7.392920e+01
76		-74.9292036732	7.492920e+01
77		-75.9292036732	7.592920e+01
78		-76.9292036732	7.692920e+01
79		-77.9292036732	7.792920e+01
80		-78.9292036732	7.892920e+01
81		-79.9292036732	7.992920e+01
82		-80.9292036732	8.092920e+01
83		-81.9292036732	8.192920e+01
84		-82.9292036732	8.292920e+01
85		-83.9292036732	8.392920e+01
86		-84.9292036732	8.492920e+01
87		-85.9292036732	8.592920e+01
88		-86.9292036732	8.692920e+01
89		-87.9292036732	8.792920e+01
90		-88.9292036732	8.892920e+01
91		-89.9292036732	8.992920e+01
92		-90.9292036732	9.092920e+01
93		-91.9292036732	9.192920e+01
94		-92.9292036732	9.292920e+01
95		-93.9292036732	9.392920e+01
96		-94.9292036732	9.492920e+01
97		-95.9292036732	9.592920e+01
98		-96.9292036732	9.692920e+01
99		-97.9292036732	9.792920e+01
100		-98.9292036732	9.892920e+01
101		-99.9292036732	9.992920e+01
102		-100.9292036732	1.009292e+02
103		-101.9292036732	1.019292e+02
104		-102.9292036732	1.029292e+02
105		-103.9292036732	1.039292e+02
106		-104.9292036732	1.049292e+02
107		-105.9292036732	1.059292e+02
108		-106.9292036732	1.069292e+02
109		-107.9292036732	1.079292e+02
110		-108.9292036732	1.089292e+02
111		-109.9292036732	1.099292e+02
112		-110.9292036732	1.109292e+02
113		-111.9292036732	1.119292e+02
114		-112.9292036732	1.129292e+02
115		-113.9292036732	1.139292e+02
116		-114.9292036732	1.149292e+02
117		-115.9292036732	1.159292e+02
118		-116.9292036732	1.169292e+02
119		-117.9292036732	1.179292e+02
120		-118.9292036732	1.189292e+02
121		-119.9292036732	1.199292e+02
122		-120.9292036732	1.209292e+02
123		-121.9292036732	1.219292e+02
124		-122.9292036732	1.229292e+02
125		-123.9292036732	1.239292e+02
126		-124.9292036732	1.249292e+02
127		-125.9292036732	1.259292e+02
128		-126.9292036732	1.269292e+02
129		-127.9292036732	1.279292e+02
130		-128.9292036732	1.289292e+02
131		-129.9292036732	1.299292e+02
132		-130.9292036732	1.309292e+02
133		-131.9292036732	1.319292e+02
134		-132.9292036732	1.329292e+02
135		-133.9292036732	1.339292e+02
136		-134.9292036732	1.349292e+02
137		-135.9292036732	1.359292e+02
138		-136.9292036732	1.369292e+02
139		-137.9292036732	1.379292e+02
140		-138.9292036732	1.389292e+02
141		-139.9292036732	1.399292e+02
142		-140.9292036732	1.409292e+02
143		-141.9292036732	1.419292e+02
144		-142.9292036732	1.429292e+02
145		-143.9292036732	1.439292e+02
146		-144.9292036732	1.449292e+02
147		-145.9292036732	1.459292e+02
148		-146.9292036732	1.469292e+02
149		-147.9292036732	1.479292e+02
150		-148.9292036732	1.489292e+02
151		-149.9292036732	1.499292e+02
152		-150.9292036732	1.509292e+02
153		-151.9292036732	1.519292e+02
154		-152.9292036732	1.529292e+02
155		-153.9292036732	1.539292e+02
156		-154.9292036732	1.549292e+02
157		-155.9292036732	1.559292e+02
158		-156.9292036732	1.569292e+02
159		-157.9292036732	1.579292e+02
160		-158.9292036732	1.589292e+02
161		-159.9292036732	1.599292e+02
162		-160.9292036732	1.609292e+02
163		-161.9292036732	1.619292e+02
164		-162.9292036732	1.629292e+02
165		-163.9292036732	1.639292e+02
166		-164.9292036732	1.649292e+02
167		-165.9292036732	1.659292e+02
168		-166.9292036732	1.669292e+02
169		-167.9292036732	1.679292e+02
170		-168.9292036732	1.689292e+02
171		-169.9292036732	1.699292e+02
172		-170.9292036732	1.709292e+02
173		-171.9292036732	1.719292e+02
174		-172.9292036732	1.729292e+02
175		-173.9292036732	1.739292e+02
176		-174.9292036732	1.749292e+02
177		-175.9292036732	1.759292e+02
178		-176.9292036732	1.769292e+02
179		-177.9292036732	1.779292e+02
180		-178.9292036732	1.789292e+02
181		-179.9292036732	1.799292e+02
182		-180.9292036732	1.809292e+02
183		-181.9292036732	1.819292e+02
184		-182.9292036732	1.829292e+02
185		-183.9292036732	1.839292e+02
186		-184.9292036732	1.849292e+02
187		-185.9292036732	1.859292e+02
188		-186.9292036732	1.869292e+02
189		-187.9292036732	1.879292e+02
190		-188.9292036732	1.889292e+02
191		-189.9292036732	1.899292e+02
192		-190.9292036732	1.909292e+02
193		-191.9292036732	1.919292e+02
194		-192.9292036732	1.929292e+02
195		-193.9292036732	1.939292e+02
196		-194.9292036732	1.949292e+02
197		-195.9292036732	1.959292e+02
198		-196.9292036732	1.969292e+02
199		-197.9292036732	1.979292e+02
200		-198.9292036732	1.989292e+02
